MOVIE_NM,OPEN_DT,GENRE_NM,SP_LANG,GENRE_NM_sorted,SP_LANG_sorted
명량,2014-07-30,사극/액션,ja/ko,사극/액션,ja/ko
극한직업,2019-01-23,코미디,ko,코미디,ko
신과함께죄와벌,2017-12-20,판타지/드라마,ko,드라마/판타지,ko
국제시장,2014-12-17,드라마,de/en/ko/ vi,드라마, vi/de/en/ko
베테랑,2015-08-05,액션/드라마,ru/en/ko,드라마/액션,en/ko/ru
도둑들,2012-07-25,액션/범죄,ko/ cn/en/zh/ja,범죄/액션, cn/en/ja/ko/zh
7번방의선물,2013-01-23,코미디/드라마,ko,드라마/코미디,ko
암살,2015-07-22,액션/드라마,cn/zh/ko/ fr/en/ja,드라마/액션, fr/cn/en/ja/ko/zh
광해왕이된남자,2012-09-13,사극/드라마,ko,드라마/사극,ko
신과함께인과연,2018-08-01,판타지/드라마,ko,드라마/판타지,ko
택시운전사,2017-08-02,드라마,de/en/ko,드라마,de/en/ko
부산행,2016-07-20,액션/스릴러,ko,스릴러/액션,ko
변호인,2013-12-18,드라마,ko,드라마,ko
어벤져스인피니티워,2018-04-25,액션/어드벤처/판타지/SF,en,SF/액션/어드벤처/판타지,en
어벤져스에이지오브울트론,2015-04-23,액션/어드벤처/판타지/SF,en,SF/액션/어드벤처/판타지,en
겨울왕국,2014-01-16,애니메이션/어드벤처/가족/코미디/뮤지컬/판타지,en,가족/뮤지컬/애니메이션/어드벤처/코미디/판타지,en
인터스텔라,2014-11-06,SF,en,SF,en
보헤미안랩소디,2018-10-31,드라마,en,드라마,en
검사외전,2016-02-03,범죄/코미디,ko,범죄/코미디,ko
관상,2013-09-11,사극/드라마,ko,드라마/사극,ko
아이언맨3,2013-04-25,액션/어드벤처/SF,en,SF/액션/어드벤처,en
설국열차,2013-08-01,SF/액션,en/fr/ja/ko,SF/액션,en/fr/ja/ko
캡틴아메리카시빌워,2016-04-27,액션/SF/스릴러,ro/ en/de/ru,SF/스릴러/액션, en/de/ro/ru
수상한그녀,2014-01-22,드라마,ko,드라마,ko
해적바다로간산적,2014-08-06,어드벤처,ko,어드벤처,ko
공조,2017-01-18,액션,ko,액션,ko
트랜스포머3,2011-06-29,액션/어드벤처,en,액션/어드벤처,en
히말라야,2015-12-16,드라마,ko,드라마,ko
미션임파서블고스트프로토콜,2011-12-15,액션,en/ru/fr/ar/sv,액션,ar/en/fr/ru/sv
밀정,2016-09-07,액션,en/ja/ko,액션,en/ja/ko
최종병기활,2011-08-10,사극/액션,ko,사극/액션,ko
써니,2011-05-04,드라마/코미디,ko,드라마/코미디,ko
스파이더맨홈커밍,2017-07-05,액션/어드벤처/SF,en,SF/액션/어드벤처,en
1987,2017-12-27,드라마,ko,드라마,ko
베를린,2013-01-30,액션,de/en/ko,액션,de/en/ko
마스터,2016-12-21,액션/범죄,ko,범죄/액션,ko
터널,2016-08-10,드라마,ko,드라마,ko
어벤져스,2012-04-26,액션/SF,en/hi/ru,SF/액션,en/hi/ru
내부자들,2015-11-19,범죄/드라마,ko,드라마/범죄,ko
인천상륙작전,2016-07-27,전쟁/드라마,en/ko,드라마/전쟁,en/ko
럭키,2016-10-13,코미디,ko,코미디,ko
은밀하게위대하게,2013-06-05,액션/코미디/드라마,ko,드라마/액션/코미디,ko
곡성,2016-05-12,미스터리/스릴러/드라마,de/ja/ko/ es,드라마/미스터리/스릴러, es/de/ja/ko
범죄도시,2017-10-03,범죄/액션,ko,범죄/액션,ko
늑대소년,2012-10-31,멜로/로맨스/드라마/판타지,ko,드라마/로맨스/멜로/판타지,ko
군함도,2017-07-26,액션/드라마,ja/ko,드라마/액션,ja/ko
미션임파서블폴아웃,2018-07-25,액션/스릴러,en/fr,스릴러/액션,en/fr
다크나이트라이즈,2012-07-19,액션/범죄/스릴러,en,범죄/스릴러/액션,en
아저씨,2010-08-04,액션/드라마,ko,드라마/액션,ko
사도,2015-09-16,사극,ko,사극,ko
미션임파서블로그네이션,2015-07-30,액션/스릴러/어드벤처,de/en/sv,스릴러/액션/어드벤처,de/en/sv
킹스맨시크릿에이전트,2015-02-11,액션/스릴러,en,스릴러/액션,en
연평해전,2015-06-24,드라마,ko,드라마,ko
인셉션,2010-07-21,드라마/미스터리,en/ja,드라마/미스터리,en/ja
레미제라블,2012-12-19,드라마,en,드라마,en
쥬라기월드폴른킹덤,2018-06-06,액션/어드벤처/SF,en/ru,SF/액션/어드벤처,en/ru
청년경찰,2017-08-09,액션,ko,액션,ko
숨바꼭질,2013-08-14,스릴러,ko,스릴러,ko
덕혜옹주,2016-08-03,사극/드라마,ja/ko,드라마/사극,ja/ko
더테러라이브,2013-07-31,범죄/기타,ko,기타/범죄,ko
쥬라기월드,2015-06-11,액션/어드벤처/SF,en,SF/액션/어드벤처,en
캡틴마블,2019-03-06,액션/어드벤처/SF,en,SF/액션/어드벤처,en
의형제,2010-02-04,드라마/액션,ko,드라마/액션,ko
감시자들,2013-07-03,범죄/액션,ko,범죄/액션,ko
앤트맨과와스프,2018-07-04,액션/어드벤처/SF,en,SF/액션/어드벤처,en
닥터스트레인지,2016-10-26,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
검은사제들,2015-11-05,미스터리/드라마,ko,드라마/미스터리,ko
안시성,2018-09-19,사극/액션,zh/ko,사극/액션,ko/zh
블랙팬서,2018-02-14,액션/드라마/SF,en/ko/ sw/xh,SF/드라마/액션, sw/en/ko/xh
더킹,2017-01-18,범죄/드라마,ko,드라마/범죄,ko
완득이,2011-10-20,드라마,ko,드라마,ko
트랜스포머사라진시대,2014-06-25,액션/SF/어드벤처,en,SF/액션/어드벤처,en
완벽한타인,2018-10-31,드라마/코미디,ko,드라마/코미디,ko
월드워z,2013-06-20,드라마/스릴러/SF/액션/어드벤처,en,SF/드라마/스릴러/액션/어드벤처,en
타워,2012-12-25,드라마,ko,드라마,ko
미녀와야수,2017-03-16,멜로/로맨스/판타지/뮤지컬,fr/en,로맨스/멜로/뮤지컬/판타지,en/fr
독전,2018-05-22,범죄/액션,ko,범죄/액션,ko
쿵푸팬더2,2011-05-26,애니메이션/액션/어드벤처/코미디/가족,en,가족/애니메이션/액션/어드벤처/코미디,en
아쿠아맨,2018-12-19,액션,en,액션,en
공작,2018-08-08,드라마,ko,드라마,ko
인사이드아웃,2015-07-09,애니메이션/코미디,en,애니메이션/코미디,en
킹스맨골든서클,2017-09-27,액션/어드벤처/코미디,,액션/어드벤처/코미디,
바람과함께사라지다,2012-08-08,코미디/사극,ko,사극/코미디,ko
마션,2015-10-08,액션/어드벤처/SF,en/zh,SF/액션/어드벤처,en/zh
토르라그나로크,2017-10-25,액션/어드벤처/판타지/SF,en,SF/액션/어드벤처/판타지,en
어메이징스파이더맨,2012-06-28,액션,en,액션,en
님아그강을건너지마오,2014-11-27,다큐멘터리,ko,다큐멘터리,ko
조선명탐정각시투구꽃의비밀,2011-01-27,코미디/액션,ko,액션/코미디,ko
군도민란의시대,2014-07-23,사극/액션,ko,사극/액션,ko
범죄와의전쟁나쁜놈들전성시대,2012-02-02,범죄/드라마,ko,드라마/범죄,ko
주토피아,2016-02-17,애니메이션/액션/어드벤처,,애니메이션/액션/어드벤처,
엣지오브투모로우,2014-06-04,액션/SF,en,SF/액션,en
신세계,2013-02-21,범죄/액션,ko,범죄/액션,ko
신비한동물사전,2016-11-16,어드벤처/가족/판타지,en,가족/어드벤처/판타지,en
도가니,2011-09-22,드라마,ko,드라마,ko
내아내의모든것,2012-05-17,코미디/멜로/로맨스,ko,로맨스/멜로/코미디,ko
판도라,2016-12-07,드라마/스릴러,ko,드라마/스릴러,ko
연가시,2012-07-05,공포(호러)/SF,ko,SF/공포(호러),ko
아이언맨2,2010-04-29,SF/액션/어드벤처,en/ru/fr,SF/액션/어드벤처,en/fr/ru
강철비,2017-12-14,액션/드라마,en/ko,드라마/액션,en/ko
해리포터와죽음의성물2,2011-07-13,판타지/미스터리,,미스터리/판타지,
엑스맨데이즈오브퓨처패스트,2014-05-22,액션/판타지/SF/어드벤처,en,SF/액션/어드벤처/판타지,en
아가씨,2016-06-01,스릴러/드라마,ja/ko,드라마/스릴러,ja/ko
어메이징스파이더맨2,2014-04-23,액션/판타지,en,액션/판타지,en
용의자,2013-12-24,액션/스릴러,ko,스릴러/액션,ko
건축학개론,2012-03-22,멜로/로맨스/드라마,ko,드라마/로맨스/멜로,ko
댄싱퀸,2012-01-18,코미디/드라마,ko,드라마/코미디,ko
꾼,2017-11-22,범죄,ko,범죄,ko
혹성탈출반격의서막,2014-07-10,액션/드라마/SF/스릴러,en,SF/드라마/스릴러/액션,en
타짜신의손,2014-09-03,드라마,ko,드라마,ko
쿵푸팬더3,2016-01-28,애니메이션/액션/어드벤처,en,애니메이션/액션/어드벤처,en
캡틴아메리카윈터솔져,2014-03-26,액션/어드벤처/SF,en,SF/액션/어드벤처,en
박수건달,2013-01-09,코미디,ko,코미디,ko
베놈,2018-10-03,액션/SF/스릴러,zh/en/ms,SF/스릴러/액션,en/ms/zh
조선명탐정사라진놉의딸,2015-02-11,사극/코미디/어드벤처,ko,사극/어드벤처/코미디,ko
역린,2014-04-30,사극,ko,사극,ko
매드맥스분노의도로,2015-05-14,액션/어드벤처/스릴러,en,스릴러/액션/어드벤처,en
남한산성,2017-10-03,사극/드라마,ko,드라마/사극,ko
데드풀2,2018-05-16,액션/어드벤처/코미디/SF,en,SF/액션/어드벤처/코미디,en
암수살인,2018-10-03,범죄/드라마,ko,드라마/범죄,ko
국가부도의날,2018-11-28,드라마,ko,드라마,ko
미이라,2017-06-06,액션/어드벤처/판타지,ar/en,액션/어드벤처/판타지,ar/en
분노의질주더익스트림,2017-04-12,액션/범죄/스릴러,en/es,범죄/스릴러/액션,en/es
너의이름은,2017-01-04,애니메이션/드라마/멜로/로맨스,ja,드라마/로맨스/멜로/애니메이션,ja
인턴,2015-09-24,코미디,en,코미디,en
라라랜드,2016-12-07,드라마/뮤지컬/멜로/로맨스,en,드라마/로맨스/멜로/뮤지컬,en
귀향,2016-02-24,드라마,zh/ko/ ja,드라마, ja/ko/zh
리얼스틸,2011-10-12,액션/드라마/SF,,SF/드라마/액션,
신의한수,2014-07-03,범죄/액션,ko,범죄/액션,ko
코코,2018-01-11,애니메이션,en/es,애니메이션,en/es
부러진화살,2012-01-18,드라마,ko,드라마,ko
끝까지간다,2014-05-29,액션/스릴러/범죄,ko,범죄/스릴러/액션,ko
비긴어게인,2014-08-13,멜로/로맨스,en,로맨스/멜로,en
스파이,2013-09-05,액션,ko,액션,ko
그것만이내세상,2018-01-17,코미디/드라마,ko,드라마/코미디,ko
이끼,2010-07-14,드라마/스릴러,ko,드라마/스릴러,ko
돈,2019-03-20,범죄,ko,범죄,ko
포화속으로,2010-06-16,드라마/전쟁,en/ko,드라마/전쟁,en/ko
맨인블랙3,2012-05-24,액션/코미디/SF,en,SF/액션/코미디,en
어바웃타임,2013-12-05,멜로/로맨스/코미디,en,로맨스/멜로/코미디,en
슈퍼배드3,2017-07-26,애니메이션,,애니메이션,
데드풀,2016-02-17,액션/SF,en,SF/액션,en
아이캔스피크,2017-09-21,코미디,en/ko,코미디,en/ko
스타워즈깨어난포스,2015-12-17,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
분노의질주더세븐,2015-04-01,액션/범죄/스릴러,en,범죄/스릴러/액션,en
터미네이터제니시스,2015-07-02,액션/어드벤처/SF/스릴러,en,SF/스릴러/액션/어드벤처,en
그래비티,2013-10-17,SF/드라마,en,SF/드라마,en
마녀,2018-06-27,미스터리/액션,en/ko,미스터리/액션,en/ko
악인전,2019-05-15,범죄/액션,ko,범죄/액션,ko
탐정리턴즈,2018-06-13,코미디/범죄,ko,범죄/코미디,ko
캐리비안의해적낯선조류,2011-05-19,액션/판타지,en/es,액션/판타지,en/es
퀵,2011-07-20,코미디/액션,ko,액션/코미디,ko
감기,2013-08-14,드라마/어드벤처/액션,ko,드라마/액션/어드벤처,ko
나우유씨미2,2016-07-13,범죄/액션,zh/en,범죄/액션,en/zh
하모니,2010-01-28,드라마,ko,드라마,ko
캐리비안의해적죽은자는말이없다,2017-05-24,액션/어드벤처/판타지/코미디,en,액션/어드벤처/코미디/판타지,en
스물,2015-03-25,코미디/드라마,ko,드라마/코미디,ko
토르다크월드,2013-10-30,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
방자전,2010-06-02,사극/코미디/멜로/로맨스,ko,로맨스/멜로/사극/코미디,ko
인크레더블2,2018-07-18,애니메이션/액션/어드벤처/코미디/가족,en,가족/애니메이션/액션/어드벤처/코미디,en
레드더레전드,2013-07-18,액션/코미디/범죄,en/fr/ru,범죄/액션/코미디,en/fr/ru
오싹한연애,2011-12-01,공포(호러)/멜로/로맨스/코미디,ko,공포(호러)/로맨스/멜로/코미디,ko
드래곤길들이기2,2014-07-23,애니메이션/액션/어드벤처,en,애니메이션/액션/어드벤처,en
형,2016-11-23,코미디/드라마,ko,드라마/코미디,ko
친구2,2013-11-14,액션,ko,액션,ko
26년,2012-11-29,액션/드라마,ko,드라마/액션,ko
서치,2018-08-29,드라마,en,드라마,en
고지전,2011-07-20,드라마/전쟁,ko,드라마/전쟁,ko
엑스맨아포칼립스,2016-05-25,액션/어드벤처/판타지/SF,en,SF/액션/어드벤처/판타지,en
프리즌,2017-03-23,범죄/액션,ko,범죄/액션,ko
솔트,2010-07-29,스릴러/액션,en/ru/ko,스릴러/액션,en/ko/ru
헬로우고스트,2010-12-22,코미디/드라마,ko,드라마/코미디,ko
극비수사,2015-06-18,드라마/범죄,ko,드라마/범죄,ko
표적,2014-04-30,액션/드라마,ko,드라마/액션,ko
앤트맨,2015-09-03,액션/SF,en,SF/액션,en
호빗다섯군대전투,2014-12-17,어드벤처/판타지,en,어드벤처/판타지,en
너의결혼식,2018-08-22,멜로/로맨스,ko,로맨스/멜로,ko
호빗뜻밖의여정,2012-12-13,어드벤처/판타지,,어드벤처/판타지,
메이즈러너,2014-09-18,액션/미스터리/SF/스릴러,en,SF/미스터리/스릴러/액션,en
말모이,2019-01-09,드라마,ko,드라마,ko
해리포터와죽음의성물1,2010-12-15,미스터리/판타지,,미스터리/판타지,
빅히어로,2015-01-21,애니메이션/액션/코미디,en,애니메이션/액션/코미디,en
덩케르크,2017-07-20,액션/드라마/스릴러/전쟁,en/fr/de,드라마/스릴러/액션/전쟁,de/en/fr
혹성탈출진화의시작,2011-08-17,액션/SF/드라마,en,SF/드라마/액션,en
부당거래,2010-10-28,범죄/드라마,ko,드라마/범죄,ko
메이즈러너스코치트라이얼,2015-09-16,액션/SF/스릴러,en,SF/스릴러/액션,en
가디언즈오브갤럭시vol2,2017-05-03,액션/SF,en,SF/액션,en
시라노연애조작단,2010-09-16,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
내가살인범이다,2012-11-08,액션/스릴러,ko,스릴러/액션,ko
나우유씨미마술사기단,2013-08-22,범죄/액션/스릴러,,범죄/스릴러/액션,
미스페레그린과이상한아이들의집,2016-09-28,미스터리/판타지,en,미스터리/판타지,en
타이탄,2010-04-01,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
곤지암,2018-03-28,공포(호러)/스릴러,ko,공포(호러)/스릴러,ko
소원,2013-10-02,드라마,ko,드라마,ko
살인자의기억법,2017-09-06,범죄/스릴러,ko,범죄/스릴러,ko
브레이킹던part2,2012-11-15,드라마/판타지/멜로/로맨스,en,드라마/로맨스/멜로/판타지,en
탐정더비기닝,2015-09-24,코미디/범죄,ko,범죄/코미디,ko
미니언즈,2015-07-29,애니메이션,en,애니메이션,en
후궁제왕의첩,2012-06-06,사극/멜로/로맨스,ko,로맨스/멜로/사극,ko
트랜스포머최후의기사,2017-06-21,액션/어드벤처/SF,,SF/액션/어드벤처,
제이슨본,2016-07-27,액션/스릴러,en,스릴러/액션,en
드래곤길들이기,2010-05-20,애니메이션/코미디/어드벤처/가족,en,가족/애니메이션/어드벤처/코미디,en
지금만나러갑니다,2018-03-14,멜로/로맨스,ko,로맨스/멜로,ko
도리를찾아서,2016-07-06,애니메이션/어드벤처/코미디,en,애니메이션/어드벤처/코미디,en
위험한상견례,2011-03-31,코미디/멜로/로맨스,ko,로맨스/멜로/코미디,ko
아수라,2016-09-28,범죄/액션,ko,범죄/액션,ko
보안관,2017-05-03,범죄/코미디,ko,범죄/코미디,ko
기술자들,2014-12-24,범죄/액션,ko,범죄/액션,ko
퍼시픽림,2013-07-11,액션/SF/어드벤처,en,SF/액션/어드벤처,en
엑스맨퍼스트클래스,2011-06-02,액션,de/en/es/fr/ru,액션,de/en/es/fr/ru
정글북,2016-06-09,어드벤처/드라마,en,드라마/어드벤처,en
목격자,2018-08-15,스릴러,ko,스릴러,ko
마이펫의이중생활,2016-08-03,애니메이션/코미디/가족,en,가족/애니메이션/코미디,en
증인,2019-02-13,드라마,ko,드라마,ko
조작된도시,2017-02-09,범죄/액션,ko,범죄/액션,ko
반창꼬,2012-12-19,멜로/로맨스,ko,로맨스/멜로,ko
보스베이비,2017-05-03,애니메이션/코미디/가족,en,가족/애니메이션/코미디,en
화차,2012-03-08,미스터리,ko,미스터리,ko
이웃사람,2012-08-22,스릴러,ko,스릴러,ko
조선명탐정흡혈괴마의비밀,2018-02-08,사극/어드벤처/코미디,ko,사극/어드벤처/코미디,ko
재심,2017-02-15,드라마,ko,드라마,ko
신비한동물들과그린델왈드의범죄,2018-11-14,판타지,en/fr,판타지,en/fr
사바하,2019-02-20,미스터리/스릴러,ko,미스터리/스릴러,ko
의뢰인,2011-09-29,스릴러,ko,스릴러,ko
화이괴물을삼킨아이,2013-10-09,액션/스릴러,ko,스릴러/액션,ko
007스카이폴,2012-10-26,액션,en,액션,en
가문의영광4가문의수난,2011-09-07,코미디,ko,코미디,ko
블라인드,2011-08-10,스릴러,ko,스릴러,ko
박열,2017-06-28,드라마,ko,드라마,ko
라스트갓파더,2010-12-29,코미디,ko,코미디,ko
스파이,2015-05-21,액션/코미디,de/en/fr/it,액션/코미디,de/en/fr/it
모아나,2017-01-12,애니메이션,en,애니메이션,en
테이큰2,2012-09-27,액션/범죄/드라마,en/tr/ar,드라마/범죄/액션,ar/en/tr
하녀,2010-05-13,스릴러/멜로/로맨스,ko,로맨스/멜로/스릴러,ko
메이즈러너데스큐어,2018-01-17,액션/SF/스릴러,en,SF/스릴러/액션,en
맘마미아2,2018-08-08,뮤지컬,,뮤지컬,
호빗스마우그의폐허,2013-12-12,어드벤처/드라마/판타지,en,드라마/어드벤처/판타지,en
나잇데이,2010-06-24,액션/코미디,,액션/코미디,
컨저링,2013-09-17,공포(호러)/스릴러,en,공포(호러)/스릴러,en
슈렉포에버,2010-07-01,애니메이션/코미디/가족,en/pt,가족/애니메이션/코미디,en/pt
배트맨대슈퍼맨저스티스의시작,2016-03-24,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
레디플레이어원,2018-03-28,액션/SF/어드벤처,en,SF/액션/어드벤처,en
배틀쉽,2012-04-11,SF/액션,en/ja,SF/액션,en/ja
셜록홈즈그림자게임,2011-12-21,액션/미스터리,en,미스터리/액션,en
7광구,2011-08-04,SF/액션/스릴러,ko,SF/스릴러/액션,ko
마당을나온암탉,2011-07-28,애니메이션,ko,애니메이션,ko
악의연대기,2015-05-14,스릴러,ko,스릴러,ko
강남1970,2015-01-21,액션/드라마,ko,드라마/액션,ko
이상한나라의앨리스,2010-03-04,판타지/어드벤처/가족,en,가족/어드벤처/판타지,en
맨오브스틸,2013-06-13,SF,en,SF,en
황해,2010-12-22,스릴러/액션/범죄,zh/ko/ es,범죄/스릴러/액션, es/ko/zh
원더우먼,2017-05-31,액션/어드벤처/판타지/SF,de/en,SF/액션/어드벤처/판타지,de/en
초능력자,2010-11-10,SF/드라마,ko,SF/드라마,ko
마이웨이,2011-12-21,전쟁/액션/드라마,ko/ ja/ru/de/zh/en,드라마/액션/전쟁, ja/de/en/ko/ru/zh
겟아웃,2017-05-17,공포(호러)/미스터리/스릴러/드라마,en,공포(호러)/드라마/미스터리/스릴러,en
나의사랑나의신부,2014-10-08,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
굿바이싱글,2016-06-29,코미디/드라마,ko,드라마/코미디,ko
이클립스,2010-07-07,판타지/멜로/로맨스/스릴러,,로맨스/멜로/스릴러/판타지,
몽타주,2013-05-16,스릴러,ko/ es,스릴러, es/ko
명당,2018-09-19,사극,ko,사극,ko
논스톱,2014-02-27,액션,en/de,액션,de/en
내부자들디오리지널,2015-12-31,범죄/드라마,,드라마/범죄,
쩨쩨한로맨스,2010-12-01,코미디/멜로/로맨스,ko,로맨스/멜로/코미디,ko
장화신은고양이,2012-01-12,애니메이션/어드벤처/코미디/판타지,es/en,애니메이션/어드벤처/코미디/판타지,en/es
인투더스톰,2014-08-28,액션/스릴러,en,스릴러/액션,en
로건,2017-03-01,액션/SF,en/es,SF/액션,en/es
뷰티인사이드,2015-08-20,판타지/멜로/로맨스,ko,로맨스/멜로/판타지,ko
혹성탈출종의전쟁,2017-08-15,액션/어드벤처/드라마/SF,en,SF/드라마/액션/어드벤처,en
봉이김선달,2016-07-06,사극,ko,사극,ko
노아,2014-03-20,어드벤처/드라마/판타지,en,드라마/어드벤처/판타지,en
레버넌트죽음에서돌아온자,2016-01-14,어드벤처/드라마,en/fr,드라마/어드벤처,en/fr
페르시아의왕자시간의모래,2010-05-27,액션/어드벤처/판타지,,액션/어드벤처/판타지,
남자가사랑할때,2014-01-22,멜로/로맨스/드라마,ko,드라마/로맨스/멜로,ko
루시,2014-09-03,액션,zh/en/fr/es/ko,액션,en/es/fr/ko/zh
협상,2018-09-19,범죄,ko,범죄,ko
알리타배틀엔젤,2019-02-05,액션/어드벤처/멜로/로맨스/SF/스릴러,en/es,SF/로맨스/멜로/스릴러/액션/어드벤처,en/es
애나벨인형의주인,2017-08-10,공포(호러),es/en,공포(호러),en/es
컨저링2,2016-06-09,공포(호러),en,공포(호러),en
터보,2013-07-25,애니메이션,en,애니메이션,en
내안의그놈,2019-01-09,판타지/코미디,ko,코미디/판타지,ko
수어사이드스쿼드,2016-08-03,액션,en,액션,en
오늘의연애,2015-01-14,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
글러브,2011-01-20,드라마,ko,드라마,ko
퍼시잭슨과번개도둑,2010-02-11,판타지/어드벤처,,어드벤처/판타지,
해결사,2010-09-09,액션/스릴러,ko,스릴러/액션,ko
연애의온도,2013-03-21,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
아이들,2011-02-17,범죄/스릴러,ko,범죄/스릴러,ko
마약왕,2018-12-19,범죄/드라마,ja/en/ko,드라마/범죄,en/ja/ko
테이큰3,2015-01-01,액션/범죄/스릴러,en,범죄/스릴러/액션,en
코리아,2012-05-03,드라마,ko,드라마,ko
지아이조2,2013-03-28,액션/어드벤처/SF,en,SF/액션/어드벤처,en
노무현입니다,2017-05-25,다큐멘터리,ko,다큐멘터리,ko
집으로가는길,2013-12-11,드라마,ko,드라마,ko
악마를보았다,2010-08-12,스릴러,ko,스릴러,ko
뺑반,2019-01-30,범죄/액션,ko,범죄/액션,ko
나의ps파트너,2012-12-06,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
007스펙터,2015-11-11,액션/어드벤처/범죄/스릴러,fr/en/es/it/de,범죄/스릴러/액션/어드벤처,de/en/es/fr/it
분노의질주더맥시멈,2013-05-22,액션,en/ru/es,액션,en/es/ru
저스티스리그,2017-11-15,액션/어드벤처/판타지/SF,en,SF/액션/어드벤처/판타지,en
공범,2013-10-24,스릴러/드라마,ko,드라마/스릴러,ko
나를찾아줘,2014-10-23,스릴러,en,스릴러,en
대호,2015-12-16,사극,ko,사극,ko
걸리버여행기,2011-01-27,코미디/어드벤처,en,어드벤처/코미디,en
주먹왕랄프2인터넷속으로,2019-01-03,애니메이션/어드벤처/코미디/가족,en,가족/애니메이션/어드벤처/코미디,en
이미테이션게임,2015-02-17,드라마/스릴러,en,드라마/스릴러,en
전설의주먹,2013-04-10,드라마/액션,ko,드라마/액션,ko
제보자,2014-10-02,드라마,ko,드라마,ko
씽,2016-12-21,애니메이션/뮤지컬,en,뮤지컬/애니메이션,en
러브픽션,2012-02-29,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
킬러의보디가드,2017-08-30,액션/코미디,fr/en/ru,액션/코미디,en/fr/ru
언터처블1의우정,2012-03-22,코미디/드라마,en/fr,드라마/코미디,en/fr
평양성,2011-01-27,전쟁/코미디/드라마,ko,드라마/전쟁/코미디,ko
샌안드레아스,2015-06-03,액션/드라마/스릴러,en,드라마/스릴러/액션,en
파파로티,2013-03-14,드라마,ko,드라마,ko
쥬만지새로운세계,2018-01-03,액션/어드벤처,,액션/어드벤처,
쎄시봉,2015-02-05,멜로/로맨스/코미디/드라마,ko,드라마/로맨스/멜로/코미디,ko
토르천둥의신,2011-04-28,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
콩스컬아일랜드,2017-03-08,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
피끓는청춘,2014-01-22,코미디/멜로/로맨스/드라마,ko,드라마/로맨스/멜로/코미디,ko
23아이덴티티,2017-02-22,스릴러,en,스릴러,en
pmc더벙커,2018-12-26,액션,en/ko,액션,en/ko
마다가스카의펭귄,2014-12-31,애니메이션/코미디/어드벤처/가족,en,가족/애니메이션/어드벤처/코미디,en
아이스에이지4대륙이동설,2012-07-25,애니메이션/어드벤처/코미디/가족,en,가족/애니메이션/어드벤처/코미디,en
공모자들,2012-08-29,범죄/스릴러,ko,범죄/스릴러,ko
그대를사랑합니다,2011-02-17,드라마,ko,드라마,ko
임금님의사건수첩,2017-04-26,코미디/어드벤처/액션,ko,액션/어드벤처/코미디,ko
마다가스카3이번엔서커스다,2012-06-06,애니메이션/어드벤처/코미디,en/es,애니메이션/어드벤처/코미디,en/es
블랙스완,2011-02-24,드라마/스릴러,en/fr/it,드라마/스릴러,en/fr/it
분노의질주언리미티드,2011-04-20,스릴러/드라마/범죄/액션,en/es/pt/it,드라마/범죄/스릴러/액션,en/es/it/pt
우아한거짓말,2014-03-13,드라마,ko,드라마,ko
하울링,2012-02-16,범죄/드라마,ko,드라마/범죄,ko
두근두근내인생,2014-09-03,드라마,ko,드라마,ko
걸캅스,2019-05-09,코미디/액션,ko,액션/코미디,ko
스타트렉다크니스,2013-05-30,액션/SF/어드벤처,en,SF/액션/어드벤처,en
창궐,2018-10-25,사극/액션,ko,사극/액션,ko
로빈후드,2010-05-13,액션/드라마/사극,en/fr/uk,드라마/사극/액션,en/fr/uk
더폰,2015-10-22,스릴러/액션,en/ko,스릴러/액션,en/ko
성난황소,2018-11-22,범죄/액션,ko,범죄/액션,ko
300제국의부활,2014-03-06,액션/드라마/전쟁,en,드라마/액션/전쟁,en
라이프오브파이,2013-01-01,어드벤처/드라마,en/fr/ja/hi/zh/ta,드라마/어드벤처,en/fr/hi/ja/ta/zh
무적자,2010-09-16,드라마/액션,ko,드라마/액션,ko
위플래쉬,2015-03-12,드라마,en,드라마,en
범블비,2018-12-25,액션/어드벤처/SF,en,SF/액션/어드벤처,en
용의자x,2012-10-18,미스터리,ko,미스터리,ko
도어락,2018-12-05,스릴러/드라마,ko,드라마/스릴러,ko
오블리비언,2013-04-11,액션/SF,en,SF/액션,en
몬스터호텔2,2015-12-24,애니메이션,en,애니메이션,en
엑소더스신들과왕들,2014-12-03,드라마,en,드라마,en
퍼펙트게임,2011-12-21,드라마,ko,드라마,ko
드래곤길들이기3,2019-01-30,애니메이션,en,애니메이션,en
리틀포레스트,2018-02-28,드라마,ko,드라마,ko
인디펜던스데이리써전스,2016-06-22,액션/어드벤처/SF,en,SF/액션/어드벤처,en
토이스토리3,2010-08-05,가족/코미디/판타지,en/es,가족/코미디/판타지,en/es
