,?MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
658,소셜네트워크,2010-11-18,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
659,고스트버스터즈,2016-08-25,미국,유니버설픽쳐스인터내셔널 코리아(유)
660,피라냐,2010-08-26,미국,에스케이텔레콤(주)
661,퍼스트어벤져,2011-07-28,미국,씨제이이앤엠(주)
662,거울나라의앨리스,2016-09-07,미국,월트디즈니컴퍼니코리아(주)
663,발레리안천개행성의도시,2017-08-30,프랑스,판씨네마(주)
664,프렌즈몬스터섬의비밀,2011-12-29,일본,(주)스마일이엔티/(주)에스비에스콘텐츠허브
665,가려진시간,2016-11-16,한국,(주)쇼박스
666,먹고기도하고사랑하라,2010-09-30,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
667,극장판포켓몬스터너로정했다,2017-12-21,일본,(주)이수C&E
668,명탐정코난순흑의악몽,2016-08-03,일본,씨제이이앤엠(주)
669,남자사용설명서,2013-02-14,한국,(주)쇼박스
670,셰이프오브워터사랑의모양,2018-02-22,미국,이십세기폭스코리아(주)
671,도라에몽스탠바이미,2015-02-12,일본,(주)넥스트엔터테인먼트월드(NEW)
672,그레이트월,2017-02-15,미국/중국,유니버설픽쳐스인터내셔널 코리아(유)
673,노예12년,2014-02-27,미국/영국,(주)프레인글로벌/판씨네마(주)
674,아부의왕,2012-06-21,한국,롯데쇼핑㈜롯데엔터테인먼트
675,캐치미,2013-12-18,한국,롯데쇼핑㈜롯데엔터테인먼트
676,무서운이야기2,2013-06-05,한국,롯데쇼핑㈜롯데엔터테인먼트
677,불량남녀,2010-11-04,한국,(주)쇼박스
678,스타이즈본,2018-10-09,미국,워너브러더스 코리아(주)
679,곰돌이푸다시만나행복해,2018-10-03,미국,월트디즈니컴퍼니코리아 유한책임회사
680,레드,2010-11-03,미국/캐나다,(주)화앤담이엔티
681,또하나의약속,2014-02-06,한국,영화사올(주)
682,카3새로운도전,2017-07-13,미국,월트디즈니컴퍼니코리아 유한책임회사
683,침묵,2017-11-02,한국,씨제이이앤엠(주)
684,해어화,2016-04-13,한국,롯데쇼핑㈜롯데엔터테인먼트
685,계춘할망,2016-05-19,한국,(주)콘텐츠 난다긴다
686,소녀괴담,2014-07-02,한국,(주)리틀빅픽쳐스
687,조선미녀삼총사,2014-01-29,한국,(주)쇼박스
688,친정엄마,2010-04-22,한국,(주)싸이더스
689,넛잡땅콩도둑들,2014-01-29,미국/캐나다/한국,(주)싸이더스
690,로봇소리,2016-01-27,한국,롯데쇼핑㈜롯데엔터테인먼트
691,트리플엑스리턴즈,2017-02-08,미국,롯데쇼핑㈜롯데엔터테인먼트
692,변산,2018-07-04,한국,메가박스중앙(주)플러스엠
693,위험한상견례2,2015-04-29,한국,(주)마인스 엔터테인먼트/롯데쇼핑㈜롯데엔터테인먼트
694,잠베지아신비한나무섬의비밀,2012-12-25,남아프리카공화국/미국,롯데쇼핑㈜롯데엔터테인먼트
695,슈퍼에이트,2011-06-16,미국,씨제이이앤엠(주)
696,카운트다운,2011-09-29,한국,(주)넥스트엔터테인먼트월드(NEW)/(주)싸이더스
697,식객2김치전쟁,2010-01-28,한국,롯데쇼핑㈜롯데엔터테인먼트
698,명탐정코난화염의해바라기,2015-08-05,일본,씨제이이앤엠(주)
699,리얼,2017-06-28,한국,씨제이이앤엠(주)
700,적인걸측천무후의비밀,2010-10-06,중국/홍콩,롯데쇼핑㈜롯데엔터테인먼트
701,페이스메이커,2012-01-18,한국,(주)시너지하우스 (시너지)/롯데쇼핑㈜롯데엔터테인먼트
702,글래스,2019-01-17,미국,월트디즈니컴퍼니코리아 유한책임회사
703,마담뺑덕,2014-10-02,한국,씨제이이앤엠(주)
704,카2,2011-07-20,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
705,너의췌장을먹고싶어,2017-10-25,일본,(주)넥스트엔터테인먼트월드(NEW)
706,순수의시대,2015-03-05,한국,씨제이이앤엠(주)
707,생텀,2011-02-10,미국/호주,(주)시너지하우스 (시너지)
708,락아웃익스트림미션,2012-06-14,미국/프랑스,롯데쇼핑㈜롯데엔터테인먼트
709,언스토퍼블,2010-11-10,미국,이십세기폭스코리아(주)
710,라이프,2017-04-05,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
711,동네사람들,2018-11-07,한국,(주)리틀빅픽쳐스
712,세얼간이,2011-08-18,인도,필라멘트픽쳐스
713,노브레싱,2013-10-30,필리핀/한국,(주)나이너스엔터테인먼트
714,원더풀고스트,2018-09-26,한국,(주)제이앤씨미디어그룹/TCO(주)더콘텐츠온
715,클라우드아틀라스,2013-01-09,독일/미국,(주)넥스트엔터테인먼트월드(NEW)
716,히든피겨스,2017-03-23,미국,이십세기폭스코리아(주)
717,명탐정코난진홍의연가,2017-08-02,일본,씨제이이앤엠(주)
718,대한민국1,2010-05-05,한국,롯데쇼핑㈜롯데엔터테인먼트
719,빅쇼트,2016-01-21,미국,롯데쇼핑㈜롯데엔터테인먼트
720,파라노말액티비티,2010-01-13,미국,(주)넥스트엔터테인먼트월드(NEW)
721,반드시잡는다,2017-11-29,한국,(주)넥스트엔터테인먼트월드(NEW)
722,뽀로로극장판컴퓨터왕국대모험,2015-12-10,한국,(주)넥스트엔터테인먼트월드(NEW)
723,헌츠맨윈터스워,2016-04-13,미국,유니버설픽쳐스인터내셔널 코리아(유)
724,익스펜더블2,2012-09-06,미국,롯데쇼핑㈜롯데엔터테인먼트
725,밀레니엄여자를증오한남자들,2012-01-11,독일/미국/스웨덴/영국,한국소니픽쳐스릴리징브에나비스타영화㈜
726,울지마톤즈,2010-09-09,한국,주식회사 마운틴픽쳐스
727,워리어스웨이,2010-12-01,미국,에스케이텔레콤(주)
728,시즌오브더위치마녀호송단,2011-01-13,미국,(주)넥스트엔터테인먼트월드(NEW)
729,원라인,2017-03-29,한국,(주)넥스트엔터테인먼트월드(NEW)
730,협녀칼의기억,2015-08-13,한국,롯데쇼핑㈜롯데엔터테인먼트
731,터닝메카드w블랙미러의부활,2017-01-18,한국,씨네그루(주)키다리이엔티
732,창수,2013-11-28,한국,(주)마인스 엔터테인먼트/(주)박수엔터테인먼트
733,랭고,2011-03-03,미국,씨제이이앤엠(주)
734,오피스,2015-09-03,한국,(주)리틀빅픽쳐스
735,모비딕,2011-06-09,한국,(주)쇼박스
736,스머프비밀의숲,2017-04-28,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
737,두개의달,2012-07-12,한국,롯데쇼핑㈜롯데엔터테인먼트
738,나를잊지말아요,2016-01-07,한국,씨제이이앤엠(주)
739,다이버전트,2014-04-16,미국,롯데쇼핑㈜롯데엔터테인먼트
740,티끌모아로맨스,2011-11-10,한국,필라멘트픽쳐스
741,신이보낸사람,2014-02-13,한국,(주)마인스 엔터테인먼트/주식회사 마운틴픽쳐스
742,흥부글로세상을바꾼자,2018-02-14,한국,롯데쇼핑㈜롯데엔터테인먼트
743,그린북,2019-01-09,미국,CGV아트하우스
744,무뢰한,2015-05-27,한국,CGV아트하우스
745,늑대소년확장판,2012-12-06,한국,씨제이이앤엠(주)
746,해피데스데이2유,2019-02-14,미국,유니버설픽쳐스인터내셔널 코리아(유)
747,킹아서제왕의검,2017-05-17,미국/영국/호주,워너브러더스 코리아(주)
748,주온끝의시작,2014-07-16,일본,(주)넥스트엔터테인먼트월드(NEW)
749,극장판공룡메카드타이니소어의섬,2019-01-10,한국,(주)넥스트엔터테인먼트월드(NEW)
750,러빙빈센트,2017-11-09,영국/폴란드,판씨네마(주)
751,넛잡2,2017-10-03,중국/캐나다/한국,롯데쇼핑㈜롯데엔터테인먼트
752,니코산타비행단의모험,2012-12-25,덴마크/독일/아일랜드/핀란드,씨너스엔터테인먼트(주)
753,나의소녀시대,2016-05-12,대만,오드
754,섹스앤더시티2,2010-06-10,미국,워너브러더스 코리아(주)
755,좋은친구들,2014-07-10,한국,씨제이이앤엠(주)
756,아메리칸메이드,2017-09-14,미국,유니버설픽쳐스인터내셔널 코리아(유)
757,아스트로보이아톰의귀환,2010-01-13,미국,㈜케이디미디어
758,닌자터틀,2014-08-28,미국,씨제이이앤엠(주)
759,판타스틱4,2015-08-20,미국,이십세기폭스코리아(주)
760,익스펜더블,2010-08-19,미국,(주)싸이더스
761,사랑이무서워,2011-03-10,한국,롯데쇼핑㈜롯데엔터테인먼트
762,몬스터패밀리,2017-12-21,독일,씨네그루(주)키다리이엔티
763,명탐정코난이차원의저격수,2014-08-06,일본,씨제이이앤엠(주)
764,명탐정코난제로의집행인,2018-08-08,일본,씨제이이앤엠(주)
765,명탐정코난수평선상의음모,2013-08-07,일본,씨제이이앤엠(주)
766,피터래빗,2018-05-16,미국/영국/호주,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
767,론레인저,2013-07-04,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
768,내심장을쏴라,2015-01-28,한국,(주)리틀빅픽쳐스/(주)이수C&E
769,나의독재자,2014-10-30,한국,롯데쇼핑㈜롯데엔터테인먼트
770,천재강아지미스터피바디,2014-04-24,미국,씨제이이앤엠(주)
771,언더워터,2016-07-13,미국,유니버설픽쳐스인터내셔널 코리아(유)
772,크로니클,2012-03-15,미국,이십세기폭스코리아(주)
773,보통사람,2017-03-23,한국,오퍼스픽쳐스(유)
774,소수의견,2015-06-24,한국,(주)시네마서비스
775,트론새로운시작,2010-12-29,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
776,내이름은칸,2011-03-24,인도,필라멘트픽쳐스
777,대장김창수,2017-10-19,한국,씨네그루(주)키다리이엔티/주식회사 키위컴퍼니
778,스토커,2013-02-28,미국,이십세기폭스코리아(주)
779,공자춘추전국시대,2010-02-11,중국,(주)시너지하우스 (시너지)
780,프롬파리위드러브,2010-03-11,프랑스,㈜케이디미디어
781,컨트롤러,2011-03-03,미국,유니버설픽쳐스인터내셔널 코리아(유)
782,눈의여왕3눈과불의마법대결,2017-01-04,러시아,(주)이수C&E
783,극장판포켓몬스터dp환영의패왕조로아크,2010-12-23,일본,씨제이 씨지브이(CJ CGV)(주)
784,그레이의50가지그림자,2015-02-26,미국,유니버설픽쳐스인터내셔널 코리아(유)
785,파라노말액티비티2,2010-10-21,미국,씨제이엔터테인먼트
786,레드라이딩후드,2011-03-17,미국/캐나다,워너브러더스 코리아(주)
787,홈,2015-05-21,미국,씨제이이앤엠(주)
788,블라인드사이드,2010-04-15,미국,워너브러더스 코리아(주)
789,극장판포켓몬스터베스트위시비크티니와백의영웅레시라무,2011-12-22,일본,씨제이이앤엠(주)
790,클로버필드10번지,2016-04-07,미국,롯데쇼핑㈜롯데엔터테인먼트
791,경성학교사라진소녀들,2015-06-18,한국,롯데쇼핑㈜롯데엔터테인먼트
792,어쌔신크리드,2017-01-11,미국/영국/프랑스,이십세기폭스코리아(주)
793,플립,2017-07-12,미국,(주)팝엔터테인먼트
794,극장판짱구는못말려아뵤쿵후보이즈라면대란,2018-12-19,일본,씨제이이앤엠(주)
795,석조저택살인사건,2017-05-09,한국,씨네그루(주)키다리이엔티
796,커플즈,2011-11-02,한국,(주)싸이더스
797,미드나잇인파리,2012-07-05,미국/스페인,(주)나이너스엔터테인먼트/(주)드림팩트엔터테인먼트
798,싱글라이더,2017-02-22,한국,워너브러더스 코리아(주)
799,그녀,2014-05-22,미국,유니버설픽쳐스인터내셔널 코리아(유)/주식회사 더쿱
800,오즈그레이트앤드파워풀,2013-03-07,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
801,극장판포켓몬스터베스트위시큐레무vs성검사케르디오,2012-12-19,일본,씨제이이앤엠(주)
802,7호실,2017-11-15,한국,롯데쇼핑㈜롯데엔터테인먼트
803,치외법권,2015-08-27,한국,판씨네마(주)
804,짱구는못말려극장판초시공태풍을부르는나의신부,2011-05-05,일본,씨제이이앤엠(주)
805,링컨뱀파이어헌터,2012-08-30,미국,이십세기폭스코리아(주)
806,아메리칸스나이퍼,2015-01-14,미국,워너브러더스 코리아(주)
807,러브유어셀프인서울,2019-01-26,한국,씨제이 씨지브이(CJ CGV)(주)
808,숲속으로,2014-12-24,미국,월트디즈니컴퍼니코리아(주)
809,하이힐,2014-06-03,한국,롯데쇼핑㈜롯데엔터테인먼트
810,음치클리닉,2012-11-29,한국,롯데쇼핑㈜롯데엔터테인먼트
811,맨발의꿈,2010-06-24,인도네시아/일본/한국,(주)쇼박스
812,허스토리,2018-06-27,한국,(주)넥스트엔터테인먼트월드(NEW)
813,패딩턴2,2018-02-08,영국/프랑스,(주)이수C&E
814,늑대아이,2012-09-13,일본,(주)미디어데이
815,내사랑,2017-07-12,아일랜드/캐나다,오드
816,미나문방구,2013-05-16,한국,롯데쇼핑㈜롯데엔터테인먼트
817,극장판짱구는못말려습격외계인덩덩이,2017-07-20,일본,씨제이이앤엠(주)
818,남영동1985,2012-11-22,한국,(주)엣나인필름/씨너스엔터테인먼트(주)
819,에베레스트,2015-09-24,미국/영국,유니버설픽쳐스인터내셔널 코리아(유)
820,위자저주의시작,2016-11-09,미국,유니버설픽쳐스인터내셔널 코리아(유)
821,무서운이야기,2012-07-25,한국,롯데쇼핑㈜롯데엔터테인먼트
822,극장판요괴워치염라대왕과5개의이야기다냥,2016-07-20,일본,씨제이이앤엠(주)
823,킬러스,2010-09-02,미국,(주)넥스트엔터테인먼트월드(NEW)
824,선오브갓,2014-04-10,미국,(주)프레인글로벌
825,링컨차를타는변호사,2011-06-16,미국,씨너스엔터테인먼트(주)
826,잭라이언코드네임쉐도우,2014-01-16,러시아/미국,씨제이이앤엠(주)
827,미드나잇선,2018-06-21,미국,씨네그루(주)키다리이엔티
828,스폰지밥3d,2015-02-18,미국,씨제이이앤엠(주)
829,사랑하기때문에,2017-01-04,한국,(주)넥스트엔터테인먼트월드(NEW)
830,희생부활자,2017-10-12,한국,(주)쇼박스
831,옥자,2017-06-29,미국,(주)넥스트엔터테인먼트월드(NEW)
832,블레이드러너2049,2017-10-12,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
833,극적인하룻밤,2015-12-03,한국,CGV아트하우스
834,극장판포켓몬스터베스트위시신의속도게노세크트뮤츠의각성,2014-01-09,일본,씨제이이앤엠(주)
835,아기배달부스토크,2016-12-07,미국,워너브러더스 코리아(주)
836,뮨달의요정,2015-09-24,프랑스,씨네그루(주)다우기술
837,빅풋주니어,2017-08-09,벨기에/프랑스,(주)이수C&E
838,검우강호,2010-10-14,미국/중국/홍콩,(주)에스비에스콘텐츠허브
839,도리화가,2015-11-25,한국,씨제이이앤엠(주)
840,세상에서가장아름다운이별,2011-04-20,한국,(주)넥스트엔터테인먼트월드(NEW)
841,레드카펫,2014-10-23,한국,(주)프레인글로벌
842,미녀와야수,2014-06-18,프랑스,(주)넥스트엔터테인먼트월드(NEW)
843,캐롤,2016-02-04,미국/영국,CGV아트하우스
844,차이니즈조디악,2013-02-27,중국,롯데쇼핑㈜롯데엔터테인먼트
845,번더스테이지더무비,2018-11-15,한국,월트디즈니컴퍼니코리아 유한책임회사
846,마이블랙미니드레스,2011-03-24,한국,씨제이이앤엠(주)
847,비행기2소방구조대,2014-08-13,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
848,트루스오어데어,2018-05-22,미국,유니버설픽쳐스인터내셔널 코리아(유)
849,주피터어센딩,2015-02-05,미국,워너브러더스 코리아(주)
850,위대한소원,2016-04-21,한국,(주)넥스트엔터테인먼트월드(NEW)
851,가디언의전설,2010-10-28,미국/호주,워너브러더스 코리아(주)
852,빌리와용감한녀석들2,2013-02-21,인도,(주)에스비에스콘텐츠허브
853,덕구,2018-04-05,한국,메가박스중앙(주)플러스엠
854,개를훔치는완벽한방법,2014-12-31,한국,(주)대명문화공장/(주)리틀빅픽쳐스
855,패딩턴,2015-01-07,영국/캐나다/프랑스,롯데쇼핑㈜롯데엔터테인먼트
856,포켓몬더무비xy후파광륜의초마신,2015-12-23,일본,(주)이수C&E
857,빌리와용감한녀석들3d,2012-08-08,독일,(주)에스비에스콘텐츠허브
858,프랑켄슈타인불멸의영웅,2014-02-06,미국/호주,(주)쇼박스
859,오즈의마법사돌아온도로시,2015-02-12,미국,(주)박수엔터테인먼트
860,위험한관계,2012-10-11,중국/한국,씨제이이앤엠(주)
861,스포트라이트,2016-02-24,미국,(주)팝엔터테인먼트
862,구스범스,2016-01-14,미국,유니버설픽쳐스인터내셔널 코리아(유)
863,로렉스,2012-05-03,미국,유니버설픽쳐스인터내셔널 코리아(유)
864,모모와다락방의수상한요괴들,2012-07-05,일본,타임스토리그룹(주)
865,포인트브레이크,2016-01-07,미국,(주)나이너스엔터테인먼트/(주)시네마서비스
866,극장판포켓몬스터베스트위시비크티니와흑의영웅제크로무,2011-12-22,일본,씨제이이앤엠(주)
867,미성년,2019-04-11,한국,(주)쇼박스
868,이스케이프플랜,2013-12-05,미국,판씨네마(주)
869,베스트키드,2010-06-10,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
870,러브로지,2014-12-10,독일/영국,(주)넥스트엔터테인먼트월드(NEW)
871,더그레이,2012-02-16,미국/캐나다,(주)팝파트너스
872,앨빈과슈퍼밴드악동어드벤처,2016-02-04,미국,이십세기폭스코리아(주)
873,런올나이트,2015-03-19,미국,워너브러더스 코리아(주)
874,혼숨,2016-10-26,한국,(주)프레인글로벌
875,커뮤터,2018-01-24,미국/영국,메가박스중앙(주)플러스엠
876,후드,2018-11-28,미국,(주)이수C&E
877,신데렐라마법반지의비밀,2019-02-20,미국,예지림엔터테인먼트
878,네버엔딩스토리,2012-01-18,한국,(주)화앤담이엔티
879,다이노타임,2015-04-30,미국/한국,씨제이이앤엠(주)
880,인서전트,2015-03-25,미국,롯데쇼핑㈜롯데엔터테인먼트
881,포켓몬더무비xyz볼케니온기계왕국의비밀,2016-12-22,일본,(주)이수C&E
882,프레데터스,2010-08-26,미국,이십세기폭스코리아(주)
883,배심원들,2019-05-15,한국,CGV아트하우스
884,오큘러스,2014-05-29,미국,씨네그루(주)다우기술
885,극장판안녕자두야,2016-05-04,한국,씨제이이앤엠(주)
886,사랑에대한모든것,2014-12-10,미국,유니버설픽쳐스인터내셔널 코리아(유)
887,존윅리로드,2017-02-22,미국,(주)제이앤씨미디어그룹
888,우리는동물원을샀다,2012-01-18,미국,이십세기폭스코리아(주)
889,눈의여왕,2013-02-07,러시아,(주)넥스트엔터테인먼트월드(NEW)
890,목소리의형태,2017-05-09,일본,(주)디스테이션
891,바울,2018-10-31,미국,(재)CBS
892,짱구는못말려극장판태풍을부르는황금스파이대작전,2012-04-26,일본,롯데쇼핑㈜롯데엔터테인먼트
893,울프맨,2010-02-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
894,가비,2012-03-15,한국,(주)시네마서비스
895,롤러코스터,2013-10-17,한국,씨제이이앤엠(주)
896,헨젤과그레텔마녀사냥꾼3d,2013-02-14,미국/영국,씨제이이앤엠(주)
897,상하이,2011-01-27,미국,(주)넥스트엔터테인먼트월드(NEW)
898,모털엔진,2018-12-05,미국,유니버설픽쳐스인터내셔널 코리아(유)
899,친구와연인사이,2011-02-10,미국,씨제이엔터테인먼트
900,파이스토리악당상어소탕작전,2013-01-10,미국/한국,(주)에스비에스콘텐츠허브
901,19곰테드,2012-09-27,미국,유니버설픽쳐스인터내셔널 코리아(유)
902,백투더비기닝,2015-02-26,미국,롯데쇼핑㈜롯데엔터테인먼트
903,저스틴,2013-12-31,스페인,(주)넥스트엔터테인먼트월드(NEW)
904,투모로우랜드,2015-05-27,미국,월트디즈니컴퍼니코리아(주)
905,극장판도라에몽진구의인어대해전,2010-07-28,일본,씨제이엔터테인먼트
906,나를차버린스파이,2018-08-22,미국,(주)누리픽쳐스
907,마야,2014-09-04,독일/호주,(주)박수엔터테인먼트
908,악질경찰,2019-03-20,한국,워너브러더스 코리아(주)
909,스파이브릿지,2015-11-05,미국,이십세기폭스코리아(주)
910,원더,2017-12-27,미국,CGV아트하우스
911,장고분노의추적자,2013-03-21,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
912,공범자들,2017-08-17,한국,(주)엣나인필름
913,함정,2015-09-10,한국,(주)인벤트스톤
914,명탐정코난코난실종사건사상최악의이틀,2015-02-12,일본,씨제이이앤엠(주)
915,파이널데스티네이션5,2011-09-08,미국,워너브러더스 코리아(주)
916,쓰리데이즈,2010-12-22,미국/프랑스,롯데쇼핑㈜롯데엔터테인먼트
917,언브로큰,2015-01-07,미국,유니버설픽쳐스인터내셔널 코리아(유)
918,카우보이에이리언,2011-08-11,미국,씨제이이앤엠(주)
919,기묘한가족,2019-02-13,한국,메가박스중앙(주)플러스엠
920,밤의여왕,2013-10-17,한국,(주)인벤트스톤
921,노벰버맨,2014-10-16,미국,롯데쇼핑㈜롯데엔터테인먼트
922,비밀은없다,2016-06-23,한국,씨제이이앤엠(주)
923,소셜포비아,2015-03-12,한국,CGV아트하우스
924,월스트리트머니네버슬립스,2010-10-21,미국,이십세기폭스코리아(주)
925,적과의동침,2011-04-27,한국,(주)쇼박스
926,툼스톤,2014-09-18,미국,(주)인벤트스톤
927,명탐정코난감벽의관,2018-02-14,일본,씨제이이앤엠(주)
928,캡틴필립스,2013-10-23,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
929,창문넘어도망친100세노인,2014-06-18,스웨덴,(주)영화사 빅
930,아이필프리티,2018-06-06,미국,(주)홈초이스
931,서약,2012-03-14,미국/브라질/프랑스,한국소니픽쳐스릴리징브에나비스타영화㈜
932,미옥,2017-11-09,한국,씨네그루(주)키다리이엔티
933,하늘을걷는남자,2015-10-28,미국,유니버설픽쳐스인터내셔널 코리아(유)
934,사랑은너무복잡해,2010-03-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
935,그레이스오브모나코,2014-06-18,미국/벨기에/이탈리아/프랑스,(주)쇼박스
936,줄리아의눈,2011-03-31,스페인,씨너스엔터테인먼트(주)
937,레고무비,2014-02-06,미국,워너브러더스 코리아(주)
938,세이빙산타,2013-12-19,영국,(주)영화사 빅
939,닌자터틀어둠의히어로,2016-06-16,미국,롯데쇼핑㈜롯데엔터테인먼트
940,비행기,2013-12-19,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
941,극장판포켓몬스터xy파괴의포켓몬과디안시,2015-01-14,일본,롯데쇼핑㈜롯데엔터테인먼트
942,드림쏭,2016-09-14,미국,(주)이수C&E
943,강철대오구국의철가방,2012-10-25,한국,롯데쇼핑㈜롯데엔터테인먼트
944,어느날,2017-04-05,한국,CGV아트하우스/오퍼스픽쳐스(유)
945,폐가,2010-08-19,한국,(주)시너지하우스 (시너지)
946,인플루언스,2010-08-19,한국,
947,시카리오데이오브솔다도,2018-06-27,미국,㈜코리아스크린
948,순정,2016-02-24,한국,(주)리틀빅픽쳐스
949,포스카인드,2010-02-25,미국,(주)넥스트엔터테인먼트월드(NEW)
950,치즈인더트랩,2018-03-14,한국,(주)리틀빅픽쳐스
951,컨테이젼,2011-09-22,미국,워너브러더스 코리아(주)
952,쓰리데이즈투킬,2014-04-03,미국,롯데쇼핑㈜롯데엔터테인먼트
953,캐빈인더우즈,2012-06-28,미국,롯데쇼핑㈜롯데엔터테인먼트
954,일곱난쟁이,2014-12-24,독일,메가박스중앙(주)플러스엠
955,딥,2017-10-03,스페인,(주)이수C&E
956,극장판루팡3세vs명탐정코난,2014-05-29,일본,씨제이이앤엠(주)
957,잡스,2013-08-29,미국,(주)넥스트엔터테인먼트월드(NEW)
958,분노의윤리학,2013-02-21,한국,롯데쇼핑㈜롯데엔터테인먼트
959,괴물의아이,2015-11-25,일본,(주)리틀빅픽쳐스/CGV아트하우스
960,한공주,2014-04-17,한국,CGV아트하우스
961,메리포핀스리턴즈,2019-02-14,미국,월트디즈니컴퍼니코리아 유한책임회사
962,12솔져스,2018-01-31,미국,(주)제이앤씨미디어그룹
963,알파앤오메가,2011-02-24,미국/인도,(주)넥스트엔터테인먼트월드(NEW)
964,일라이,2010-04-15,미국,(주)쇼박스
965,마마,2011-06-01,한국,롯데쇼핑㈜롯데엔터테인먼트
966,시,2010-05-13,한국,(주)넥스트엔터테인먼트월드(NEW)
967,헤라클레스레전드비긴즈,2014-04-10,미국,(주)넥스트엔터테인먼트월드(NEW)
968,노미오와줄리엣,2011-04-14,미국/영국,(주)쇼박스
969,언프렌디드친구삭제,2015-05-07,미국,유니버설픽쳐스인터내셔널 코리아(유)
970,노아의방주남겨진녀석들,2015-04-30,독일/룩셈부르크/벨기에/아일랜드,씨네그루(주)다우기술
971,1급기밀,2018-01-24,한국,(주)리틀빅픽쳐스
972,50가지그림자해방,2018-02-21,미국,유니버설픽쳐스인터내셔널 코리아(유)
973,나는공무원이다,2012-07-12,한국,(주)넥스트엔터테인먼트월드(NEW)
974,속닥속닥,2018-07-13,한국,(주)그노스
975,짱구는못말려극장판태풍을부르는나와우주의프린세스,2013-04-25,일본,롯데쇼핑㈜롯데엔터테인먼트
976,메카닉,2011-02-24,미국,씨너스엔터테인먼트(주)
977,원피스필름골드,2016-12-08,일본,씨제이이앤엠(주)
978,송포유,2013-04-18,영국,(주)넥스트엔터테인먼트월드(NEW)
979,그린랜턴반지의선택,2011-06-16,미국,워너브러더스 코리아(주)
980,루돌프와많이있어,2016-12-28,일본,씨제이이앤엠(주)
981,극장판요괴워치하늘을나는고래와더블세계다냥,2017-09-27,일본,씨제이이앤엠(주)
982,벽속에숨은마법시계,2018-10-31,미국,CGV아트하우스
983,허리케인하이스트,2018-03-14,미국,(주)넥스트엔터테인먼트월드(NEW)
984,독수리에디,2016-04-07,미국,이십세기폭스코리아(주)
985,한솔로스타워즈스토리,2018-05-24,미국,월트디즈니컴퍼니코리아 유한책임회사
986,덤보,2019-03-27,미국,월트디즈니컴퍼니코리아 유한책임회사
987,아이엠어히어로,2016-09-21,일본,(주)영화사 빅
988,극장판파워레인저다이노포스vs고버스터즈공룡대결전안녕영원한친구여,2014-10-02,일본,(주)이수C&E
989,연애의맛,2015-05-07,한국,(주)쇼박스/(주)와우픽쳐스
990,러블리본즈,2010-02-25,미국,씨제이엔터테인먼트
991,내니맥피2유모와마법소동,2010-08-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
992,자칼이온다,2012-11-15,한국,롯데쇼핑㈜롯데엔터테인먼트
993,한나,2011-04-14,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
994,덕수리5형제,2014-12-04,한국,롯데쇼핑㈜롯데엔터테인먼트
995,테드황금도시파이티티를찾아서,2012-09-20,스페인,(주)싸이더스
996,코알라키드영웅의탄생,2012-01-12,미국/한국,롯데쇼핑㈜롯데엔터테인먼트
997,버드맨,2015-03-05,미국,이십세기폭스코리아(주)
998,남과여,2016-02-25,한국,(주)쇼박스
999,비포미드나잇,2013-05-22,미국,(주)팝엔터테인먼트
1000,어쌔신더비기닝,2017-12-07,미국,(주)이수C&E
1001,원데이,2012-12-13,미국,(주)팝파트너스
1002,짱구는못말려극장판나의이사이야기선인장대습격,2016-01-07,일본,(주)넥스트엔터테인먼트월드(NEW)
1003,굿모닝에브리원,2011-03-17,미국,씨제이이앤엠(주)
1004,발레리나,2017-02-09,캐나다/프랑스,판씨네마(주)
1005,페스티발,2010-11-18,한국,(주)시너지하우스 (시너지)
1006,언더월드4어웨이크닝,2012-02-22,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
1007,꼬마니콜라,2010-01-28,프랑스,(주)프라임엔터테인먼트
1008,콜미바이유어네임,2018-03-22,미국/브라질/이탈리아/프랑스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
1009,코쿠리코언덕에서,2011-09-29,일본,씨제이이앤엠(주)
1010,엣지오브다크니스,2010-06-02,미국/영국,(주)넥스트엔터테인먼트월드(NEW)
