MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
스토커,2013-02-28,미국,이십세기폭스코리아(주)
공자춘추전국시대,2010-02-11,중국,(주)시너지하우스 (시너지)
프롬파리위드러브,2010-03-11,프랑스,㈜케이디미디어
컨트롤러,2011-03-03,미국,유니버설픽쳐스인터내셔널 코리아(유)
눈의여왕3눈과불의마법대결,2017-01-04,러시아,(주)이수C&E
극장판포켓몬스터dp환영의패왕조로아크,2010-12-23,일본,씨제이 씨지브이(CJ CGV)(주)
그레이의50가지그림자,2015-02-26,미국,유니버설픽쳐스인터내셔널 코리아(유)
파라노말액티비티2,2010-10-21,미국,씨제이엔터테인먼트
레드라이딩후드,2011-03-17,미국/캐나다,워너브러더스 코리아(주)
홈,2015-05-21,미국,씨제이이앤엠(주)
블라인드사이드,2010-04-15,미국,워너브러더스 코리아(주)
극장판포켓몬스터베스트위시비크티니와백의영웅레시라무,2011-12-22,일본,씨제이이앤엠(주)
클로버필드10번지,2016-04-07,미국,롯데쇼핑㈜롯데엔터테인먼트
경성학교사라진소녀들,2015-06-18,한국,롯데쇼핑㈜롯데엔터테인먼트
어쌔신크리드,2017-01-11,미국/영국/프랑스,이십세기폭스코리아(주)
플립,2017-07-12,미국,(주)팝엔터테인먼트
극장판짱구는못말려아뵤쿵후보이즈라면대란,2018-12-19,일본,씨제이이앤엠(주)
석조저택살인사건,2017-05-09,한국,씨네그루(주)키다리이엔티
커플즈,2011-11-02,한국,(주)싸이더스
미드나잇인파리,2012-07-05,미국/스페인,(주)드림팩트엔터테인먼트/(주)나이너스엔터테인먼트
싱글라이더,2017-02-22,한국,워너브러더스 코리아(주)
그녀,2014-05-22,미국,주식회사 더쿱/유니버설픽쳐스인터내셔널 코리아(유)
오즈그레이트앤드파워풀,2013-03-07,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
극장판포켓몬스터베스트위시큐레무vs성검사케르디오,2012-12-19,일본,씨제이이앤엠(주)
7호실,2017-11-15,한국,롯데쇼핑㈜롯데엔터테인먼트
치외법권,2015-08-27,한국,판씨네마(주)
짱구는못말려극장판초시공태풍을부르는나의신부,2011-05-05,일본,씨제이이앤엠(주)
링컨뱀파이어헌터,2012-08-30,미국,이십세기폭스코리아(주)
아메리칸스나이퍼,2015-01-14,미국,워너브러더스 코리아(주)
러브유어셀프인서울,2019-01-26,한국,씨제이 씨지브이(CJ CGV)(주)
숲속으로,2014-12-24,미국,월트디즈니컴퍼니코리아(주)
하이힐,2014-06-03,한국,롯데쇼핑㈜롯데엔터테인먼트
음치클리닉,2012-11-29,한국,롯데쇼핑㈜롯데엔터테인먼트
맨발의꿈,2010-06-24,한국/인도네시아/일본,(주)쇼박스
허스토리,2018-06-27,한국,(주)넥스트엔터테인먼트월드(NEW)
패딩턴2,2018-02-08,프랑스/영국,(주)이수C&E
늑대아이,2012-09-13,일본,(주)미디어데이
내사랑,2017-07-12,아일랜드/캐나다,오드
미나문방구,2013-05-16,한국,롯데쇼핑㈜롯데엔터테인먼트
극장판짱구는못말려습격외계인덩덩이,2017-07-20,일본,씨제이이앤엠(주)
남영동1985,2012-11-22,한국,씨너스엔터테인먼트(주)/(주)엣나인필름
에베레스트,2015-09-24,미국/영국,유니버설픽쳐스인터내셔널 코리아(유)
위자저주의시작,2016-11-09,미국,유니버설픽쳐스인터내셔널 코리아(유)
무서운이야기,2012-07-25,한국,롯데쇼핑㈜롯데엔터테인먼트
극장판요괴워치염라대왕과5개의이야기다냥,2016-07-20,일본,씨제이이앤엠(주)
킬러스,2010-09-02,미국,(주)넥스트엔터테인먼트월드(NEW)
선오브갓,2014-04-10,미국,(주)프레인글로벌
링컨차를타는변호사,2011-06-16,미국,씨너스엔터테인먼트(주)
잭라이언코드네임쉐도우,2014-01-16,미국/러시아,씨제이이앤엠(주)
미드나잇선,2018-06-21,미국,씨네그루(주)키다리이엔티
스폰지밥3d,2015-02-18,미국,씨제이이앤엠(주)
사랑하기때문에,2017-01-04,한국,(주)넥스트엔터테인먼트월드(NEW)
희생부활자,2017-10-12,한국,(주)쇼박스
옥자,2017-06-29,미국,(주)넥스트엔터테인먼트월드(NEW)
블레이드러너2049,2017-10-12,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
극적인하룻밤,2015-12-03,한국,CGV아트하우스
극장판포켓몬스터베스트위시신의속도게노세크트뮤츠의각성,2014-01-09,일본,씨제이이앤엠(주)
아기배달부스토크,2016-12-07,미국,워너브러더스 코리아(주)
뮨달의요정,2015-09-24,프랑스,씨네그루(주)다우기술
빅풋주니어,2017-08-09,벨기에/프랑스,(주)이수C&E
검우강호,2010-10-14,홍콩/중국/미국,(주)에스비에스콘텐츠허브
도리화가,2015-11-25,한국,씨제이이앤엠(주)
세상에서가장아름다운이별,2011-04-20,한국,(주)넥스트엔터테인먼트월드(NEW)
레드카펫,2014-10-23,한국,(주)프레인글로벌
미녀와야수,2014-06-18,프랑스,(주)넥스트엔터테인먼트월드(NEW)
캐롤,2016-02-04,미국/영국,CGV아트하우스
차이니즈조디악,2013-02-27,중국,롯데쇼핑㈜롯데엔터테인먼트
번더스테이지더무비,2018-11-15,한국,월트디즈니컴퍼니코리아 유한책임회사
마이블랙미니드레스,2011-03-24,한국,씨제이이앤엠(주)
비행기2소방구조대,2014-08-13,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
트루스오어데어,2018-05-22,미국,유니버설픽쳐스인터내셔널 코리아(유)
주피터어센딩,2015-02-05,미국,워너브러더스 코리아(주)
위대한소원,2016-04-21,한국,(주)넥스트엔터테인먼트월드(NEW)
가디언의전설,2010-10-28,미국/호주,워너브러더스 코리아(주)
빌리와용감한녀석들2,2013-02-21,인도,(주)에스비에스콘텐츠허브
덕구,2018-04-05,한국,메가박스중앙(주)플러스엠
개를훔치는완벽한방법,2014-12-31,한국,(주)리틀빅픽쳐스/(주)대명문화공장
패딩턴,2015-01-07,영국/프랑스/캐나다,롯데쇼핑㈜롯데엔터테인먼트
포켓몬더무비xy후파광륜의초마신,2015-12-23,일본,(주)이수C&E
빌리와용감한녀석들3d,2012-08-08,독일,(주)에스비에스콘텐츠허브
프랑켄슈타인불멸의영웅,2014-02-06,미국/호주,(주)쇼박스
오즈의마법사돌아온도로시,2015-02-12,미국,(주)박수엔터테인먼트
위험한관계,2012-10-11,한국/중국,씨제이이앤엠(주)
스포트라이트,2016-02-24,미국,(주)팝엔터테인먼트
구스범스,2016-01-14,미국,유니버설픽쳐스인터내셔널 코리아(유)
로렉스,2012-05-03,미국,유니버설픽쳐스인터내셔널 코리아(유)
모모와다락방의수상한요괴들,2012-07-05,일본,타임스토리그룹(주)
포인트브레이크,2016-01-07,미국,(주)시네마서비스/(주)나이너스엔터테인먼트
극장판포켓몬스터베스트위시비크티니와흑의영웅제크로무,2011-12-22,일본,씨제이이앤엠(주)
미성년,2019-04-11,한국,(주)쇼박스
이스케이프플랜,2013-12-05,미국,판씨네마(주)
베스트키드,2010-06-10,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
러브로지,2014-12-10,영국/독일,(주)넥스트엔터테인먼트월드(NEW)
더그레이,2012-02-16,미국/캐나다,(주)팝파트너스
앨빈과슈퍼밴드악동어드벤처,2016-02-04,미국,이십세기폭스코리아(주)
런올나이트,2015-03-19,미국,워너브러더스 코리아(주)
혼숨,2016-10-26,한국,(주)프레인글로벌
커뮤터,2018-01-24,영국/미국,메가박스중앙(주)플러스엠
후드,2018-11-28,미국,(주)이수C&E
신데렐라마법반지의비밀,2019-02-20,미국,예지림엔터테인먼트
네버엔딩스토리,2012-01-18,한국,(주)화앤담이엔티
다이노타임,2015-04-30,한국/미국,씨제이이앤엠(주)
인서전트,2015-03-25,미국,롯데쇼핑㈜롯데엔터테인먼트
포켓몬더무비xyz볼케니온기계왕국의비밀,2016-12-22,일본,(주)이수C&E
프레데터스,2010-08-26,미국,이십세기폭스코리아(주)
배심원들,2019-05-15,한국,CGV아트하우스
오큘러스,2014-05-29,미국,씨네그루(주)다우기술
극장판안녕자두야,2016-05-04,한국,씨제이이앤엠(주)
사랑에대한모든것,2014-12-10,미국,유니버설픽쳐스인터내셔널 코리아(유)
존윅리로드,2017-02-22,미국,(주)제이앤씨미디어그룹
우리는동물원을샀다,2012-01-18,미국,이십세기폭스코리아(주)
눈의여왕,2013-02-07,러시아,(주)넥스트엔터테인먼트월드(NEW)
목소리의형태,2017-05-09,일본,(주)디스테이션
바울,2018-10-31,미국,(재)CBS
짱구는못말려극장판태풍을부르는황금스파이대작전,2012-04-26,일본,롯데쇼핑㈜롯데엔터테인먼트
울프맨,2010-02-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
가비,2012-03-15,한국,(주)시네마서비스
롤러코스터,2013-10-17,한국,씨제이이앤엠(주)
헨젤과그레텔마녀사냥꾼3d,2013-02-14,미국/영국,씨제이이앤엠(주)
상하이,2011-01-27,미국,(주)넥스트엔터테인먼트월드(NEW)
모털엔진,2018-12-05,미국,유니버설픽쳐스인터내셔널 코리아(유)
친구와연인사이,2011-02-10,미국,씨제이엔터테인먼트
파이스토리악당상어소탕작전,2013-01-10,미국/한국,(주)에스비에스콘텐츠허브
19곰테드,2012-09-27,미국,유니버설픽쳐스인터내셔널 코리아(유)
백투더비기닝,2015-02-26,미국,롯데쇼핑㈜롯데엔터테인먼트
저스틴,2013-12-31,스페인,(주)넥스트엔터테인먼트월드(NEW)
투모로우랜드,2015-05-27,미국,월트디즈니컴퍼니코리아(주)
극장판도라에몽진구의인어대해전,2010-07-28,일본,씨제이엔터테인먼트
나를차버린스파이,2018-08-22,미국,(주)누리픽쳐스
마야,2014-09-04,독일/호주,(주)박수엔터테인먼트
악질경찰,2019-03-20,한국,워너브러더스 코리아(주)
스파이브릿지,2015-11-05,미국,이십세기폭스코리아(주)
원더,2017-12-27,미국,CGV아트하우스
장고분노의추적자,2013-03-21,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
공범자들,2017-08-17,한국,(주)엣나인필름
함정,2015-09-10,한국,(주)인벤트스톤
명탐정코난코난실종사건사상최악의이틀,2015-02-12,일본,씨제이이앤엠(주)
파이널데스티네이션5,2011-09-08,미국,워너브러더스 코리아(주)
쓰리데이즈,2010-12-22,미국/프랑스,롯데쇼핑㈜롯데엔터테인먼트
언브로큰,2015-01-07,미국,유니버설픽쳐스인터내셔널 코리아(유)
카우보이에이리언,2011-08-11,미국,씨제이이앤엠(주)
기묘한가족,2019-02-13,한국,메가박스중앙(주)플러스엠
밤의여왕,2013-10-17,한국,(주)인벤트스톤
노벰버맨,2014-10-16,미국,롯데쇼핑㈜롯데엔터테인먼트
비밀은없다,2016-06-23,한국,씨제이이앤엠(주)
소셜포비아,2015-03-12,한국,CGV아트하우스
월스트리트머니네버슬립스,2010-10-21,미국,이십세기폭스코리아(주)
적과의동침,2011-04-27,한국,(주)쇼박스
툼스톤,2014-09-18,미국,(주)인벤트스톤
명탐정코난감벽의관,2018-02-14,일본,씨제이이앤엠(주)
캡틴필립스,2013-10-23,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
창문넘어도망친100세노인,2014-06-18,스웨덴,(주)영화사 빅
아이필프리티,2018-06-06,미국,(주)홈초이스
서약,2012-03-14,미국/프랑스/브라질,한국소니픽쳐스릴리징브에나비스타영화㈜
미옥,2017-11-09,한국,씨네그루(주)키다리이엔티
하늘을걷는남자,2015-10-28,미국,유니버설픽쳐스인터내셔널 코리아(유)
사랑은너무복잡해,2010-03-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
그레이스오브모나코,2014-06-18,프랑스/미국/벨기에/이탈리아,(주)쇼박스
줄리아의눈,2011-03-31,스페인,씨너스엔터테인먼트(주)
레고무비,2014-02-06,미국,워너브러더스 코리아(주)
세이빙산타,2013-12-19,영국,(주)영화사 빅
닌자터틀어둠의히어로,2016-06-16,미국,롯데쇼핑㈜롯데엔터테인먼트
비행기,2013-12-19,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
극장판포켓몬스터xy파괴의포켓몬과디안시,2015-01-14,일본,롯데쇼핑㈜롯데엔터테인먼트
드림쏭,2016-09-14,미국,(주)이수C&E
강철대오구국의철가방,2012-10-25,한국,롯데쇼핑㈜롯데엔터테인먼트
어느날,2017-04-05,한국,오퍼스픽쳐스(유)/CGV아트하우스
폐가,2010-08-19,한국,(주)시너지하우스 (시너지)
인플루언스,2010-08-19,한국,
시카리오데이오브솔다도,2018-06-27,미국,㈜코리아스크린
순정,2016-02-24,한국,(주)리틀빅픽쳐스
포스카인드,2010-02-25,미국,(주)넥스트엔터테인먼트월드(NEW)
치즈인더트랩,2018-03-14,한국,(주)리틀빅픽쳐스
컨테이젼,2011-09-22,미국,워너브러더스 코리아(주)
쓰리데이즈투킬,2014-04-03,미국,롯데쇼핑㈜롯데엔터테인먼트
캐빈인더우즈,2012-06-28,미국,롯데쇼핑㈜롯데엔터테인먼트
일곱난쟁이,2014-12-24,독일,메가박스중앙(주)플러스엠
딥,2017-10-03,스페인,(주)이수C&E
극장판루팡3세vs명탐정코난,2014-05-29,일본,씨제이이앤엠(주)
잡스,2013-08-29,미국,(주)넥스트엔터테인먼트월드(NEW)
분노의윤리학,2013-02-21,한국,롯데쇼핑㈜롯데엔터테인먼트
괴물의아이,2015-11-25,일본,CGV아트하우스/(주)리틀빅픽쳐스
한공주,2014-04-17,한국,CGV아트하우스
메리포핀스리턴즈,2019-02-14,미국,월트디즈니컴퍼니코리아 유한책임회사
12솔져스,2018-01-31,미국,(주)제이앤씨미디어그룹
알파앤오메가,2011-02-24,미국/인도,(주)넥스트엔터테인먼트월드(NEW)
일라이,2010-04-15,미국,(주)쇼박스
마마,2011-06-01,한국,롯데쇼핑㈜롯데엔터테인먼트
시,2010-05-13,한국,(주)넥스트엔터테인먼트월드(NEW)
헤라클레스레전드비긴즈,2014-04-10,미국,(주)넥스트엔터테인먼트월드(NEW)
노미오와줄리엣,2011-04-14,영국/미국,(주)쇼박스
언프렌디드친구삭제,2015-05-07,미국,유니버설픽쳐스인터내셔널 코리아(유)
노아의방주남겨진녀석들,2015-04-30,독일/벨기에/룩셈부르크/아일랜드,씨네그루(주)다우기술
1급기밀,2018-01-24,한국,(주)리틀빅픽쳐스
50가지그림자해방,2018-02-21,미국,유니버설픽쳐스인터내셔널 코리아(유)
나는공무원이다,2012-07-12,한국,(주)넥스트엔터테인먼트월드(NEW)
속닥속닥,2018-07-13,한국,(주)그노스
짱구는못말려극장판태풍을부르는나와우주의프린세스,2013-04-25,일본,롯데쇼핑㈜롯데엔터테인먼트
메카닉,2011-02-24,미국,씨너스엔터테인먼트(주)
원피스필름골드,2016-12-08,일본,씨제이이앤엠(주)
송포유,2013-04-18,영국,(주)넥스트엔터테인먼트월드(NEW)
그린랜턴반지의선택,2011-06-16,미국,워너브러더스 코리아(주)
루돌프와많이있어,2016-12-28,일본,씨제이이앤엠(주)
극장판요괴워치하늘을나는고래와더블세계다냥,2017-09-27,일본,씨제이이앤엠(주)
벽속에숨은마법시계,2018-10-31,미국,CGV아트하우스
허리케인하이스트,2018-03-14,미국,(주)넥스트엔터테인먼트월드(NEW)
독수리에디,2016-04-07,미국,이십세기폭스코리아(주)
한솔로스타워즈스토리,2018-05-24,미국,월트디즈니컴퍼니코리아 유한책임회사
덤보,2019-03-27,미국,월트디즈니컴퍼니코리아 유한책임회사
아이엠어히어로,2016-09-21,일본,(주)영화사 빅
극장판파워레인저다이노포스vs고버스터즈공룡대결전안녕영원한친구여,2014-10-02,일본,(주)이수C&E
연애의맛,2015-05-07,한국,(주)와우픽쳐스/(주)쇼박스
러블리본즈,2010-02-25,미국,씨제이엔터테인먼트
내니맥피2유모와마법소동,2010-08-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
자칼이온다,2012-11-15,한국,롯데쇼핑㈜롯데엔터테인먼트
한나,2011-04-14,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
덕수리5형제,2014-12-04,한국,롯데쇼핑㈜롯데엔터테인먼트
테드황금도시파이티티를찾아서,2012-09-20,스페인,(주)싸이더스
코알라키드영웅의탄생,2012-01-12,한국/미국,롯데쇼핑㈜롯데엔터테인먼트
버드맨,2015-03-05,미국,이십세기폭스코리아(주)
남과여,2016-02-25,한국,(주)쇼박스
비포미드나잇,2013-05-22,미국,(주)팝엔터테인먼트
어쌔신더비기닝,2017-12-07,미국,(주)이수C&E
원데이,2012-12-13,미국,(주)팝파트너스
짱구는못말려극장판나의이사이야기선인장대습격,2016-01-07,일본,(주)넥스트엔터테인먼트월드(NEW)
굿모닝에브리원,2011-03-17,미국,씨제이이앤엠(주)
발레리나,2017-02-09,프랑스/캐나다,판씨네마(주)
페스티발,2010-11-18,한국,(주)시너지하우스 (시너지)
언더월드4어웨이크닝,2012-02-22,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
꼬마니콜라,2010-01-28,프랑스,(주)프라임엔터테인먼트
콜미바이유어네임,2018-03-22,이탈리아/프랑스/브라질/미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
코쿠리코언덕에서,2011-09-29,일본,씨제이이앤엠(주)
엣지오브다크니스,2010-06-02,영국/미국,(주)넥스트엔터테인먼트월드(NEW)
스누피더피너츠무비,2015-12-24,미국,이십세기폭스코리아(주)
언니,2019-01-01,한국,(주)제이앤씨미디어그룹/TCO(주)더콘텐츠온
그린호넷,2011-01-27,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
극장판포켓몬스터모두의이야기,2018-12-19,일본,(주)이수C&E
투혼,2011-10-06,한국,(주)시너지하우스 (시너지)/롯데쇼핑㈜롯데엔터테인먼트
무현두도시이야기,2016-10-26,한국,(주)모멘텀엔터테인먼트
언더독,2019-01-16,한국,(주)넥스트엔터테인먼트월드(NEW)
덤앤더머투,2014-11-27,미국,씨네그루(주)다우기술
디어존,2010-03-04,미국,(주)화앤담이엔티
응징자,2013-10-30,한국,(주)인벤트스톤
나미야잡화점의기적,2018-02-28,일본,(주)이수C&E
쥴리의육지대모험,2011-09-08,미국/홍콩/말레이시아,(주)싸이더스
보이후드,2014-10-23,미국,유니버설픽쳐스인터내셔널 코리아(유)
컬러풀웨딩즈,2014-10-16,프랑스,(주)이수C&E
업그레이드,2018-09-06,미국,유니버설픽쳐스인터내셔널 코리아(유)
50가지그림자심연,2017-02-09,미국,유니버설픽쳐스인터내셔널 코리아(유)
글로리데이,2016-03-24,한국,(주)엣나인필름
프리즈너스,2013-10-02,미국,(주)넥스트엔터테인먼트월드(NEW)/판씨네마(주)
런닝맨풀룰루의역습,2018-12-05,한국,(주)넥스트엔터테인먼트월드(NEW)
기생수파트1,2015-02-26,일본,판씨네마(주)
팬,2015-10-08,미국,워너브러더스 코리아(주)
해피피트2,2012-02-02,호주,워너브러더스 코리아(주)
더셰프,2015-11-05,미국,(주)이수C&E
어린의뢰인,2019-05-22,한국,롯데컬처웍스(주)롯데엔터테인먼트
우상,2019-03-20,한국,CGV아트하우스
마이리틀히어로,2013-01-09,한국,씨제이이앤엠(주)
극장판포켓몬스터dp디아루가vs펄기아vs다크라이,2018-06-06,일본,(주)이수C&E
명탐정코난탐정들의진혼가,2014-02-13,일본,씨제이이앤엠(주)
극장판도라에몽진구의보물섬,2018-08-15,일본,(주)이수C&E
바니버디,2011-07-20,미국,유니버설픽쳐스인터내셔널 코리아(유)
유령작가,2010-06-02,프랑스/독일/영국,(주)싸이더스
백악관최후의날,2013-06-05,미국,씨너스엔터테인먼트(주)
해양경찰마르코,2013-02-14,덴마크,(주)인벤트스톤
로마위드러브,2013-04-18,미국/이탈리아/스페인,(주)나이너스엔터테인먼트
127시간,2011-02-17,미국,이십세기폭스코리아(주)
레전드,2015-12-10,프랑스/영국,(주)이수C&E
핵소고지,2017-02-22,미국/호주,판씨네마(주)
아빠가여자를좋아해,2010-01-14,한국,(주)쇼박스
허트로커,2010-04-22,미국,(주)넥스트엔터테인먼트월드(NEW)
문라이트,2017-02-22,미국,CGV아트하우스
유전,2018-06-07,미국,(주)팝엔터테인먼트
명탐정코난은빛날개의마술사,2013-01-24,일본,씨제이이앤엠(주)
더로드,2010-01-07,미국,에스케이텔레콤(주)
채비,2017-11-09,한국,오퍼스픽쳐스(유)
나는내일어제의너와만난다,2017-10-12,일본,(주)디스테이션
톱스타,2013-10-24,한국,롯데쇼핑㈜롯데엔터테인먼트
부활,2016-03-17,미국,유니버설픽쳐스인터내셔널 코리아(유)
업사이드다운,2012-11-08,캐나다/프랑스,롯데쇼핑㈜롯데엔터테인먼트
론서바이버,2014-04-02,미국,유니버설픽쳐스인터내셔널 코리아(유)
어느가족,2018-07-26,일본,(주)티캐스트
발렌타인데이,2010-02-11,미국,워너브러더스 코리아(주)
장난스런키스,2019-03-27,대만,오드/(주)홈초이스
아빠를빌려드립니다,2014-11-20,한국,메가박스중앙(주)플러스엠/(주)레드로버
자전차왕엄복동,2019-02-27,한국,(주)셀트리온엔터테인먼트
조이,2016-03-10,미국,이십세기폭스코리아(주)
더프레데터,2018-09-12,미국,이십세기폭스코리아(주)
예수는역사다,2017-07-13,미국,(재)CBS
19곰테드2,2015-06-25,미국,유니버설픽쳐스인터내셔널 코리아(유)
그랑프리,2010-09-16,한국,(주)싸이더스
대배우,2016-03-30,한국,(주)대명문화공장/(주)리틀빅픽쳐스
매직브러시,2016-05-04,중국,(주)영화사 빅
라스트베가스,2014-05-08,미국,(주)나이너스엔터테인먼트
렛미인,2010-11-18,영국/미국,롯데쇼핑㈜롯데엔터테인먼트
노리개,2013-04-18,한국,(주)인벤트스톤
나는아빠다,2011-04-14,한국,롯데쇼핑㈜롯데엔터테인먼트
비밀애,2010-03-25,한국,(주)시너지하우스 (시너지)
극장판도라에몽진구의남극꽁꽁대모험,2017-08-10,일본,(주)넥스트엔터테인먼트월드(NEW)
극장판도라에몽진구의아프리카모험베코와5인의탐험대,2014-09-04,일본,(주)이수C&E
극장판도라에몽진구와기적의섬애니멀어드벤처,2012-07-25,일본,롯데쇼핑㈜롯데엔터테인먼트
스플라이스,2010-07-01,캐나다,(주)화천공사
킬러엘리트,2011-09-22,미국,에스케이텔레콤(주)
김복남살인사건의전말,2010-09-02,한국,(주)스폰지이엔티
세이프하우스,2012-02-29,미국/남아프리카공화국,유니버설픽쳐스인터내셔널 코리아(유)
무법자,2010-03-18,한국,(주)넥스트엔터테인먼트월드(NEW)
다크아워,2012-01-05,미국,이십세기폭스코리아(주)
더페이버릿여왕의여자,2019-02-21,미국,이십세기폭스코리아(주)
아메리칸울트라,2015-08-27,미국,씨제이이앤엠(주)
트랜스포터리퓰드,2015-10-15,프랑스/중국,씨네그루(주)다우기술
빅,2016-07-27,미국/인도,(주)이수C&E
더큐어,2017-02-15,미국/독일,이십세기폭스코리아(주)
더자이언트,2013-02-21,미국/태국,(주)마인스 엔터테인먼트
회복,2010-01-14,한국/이스라엘,(주)스폰지이엔티
극장판요괴워치섀도사이드도깨비왕의부활,2018-09-20,일본,씨제이이앤엠(주)
어브덕션,2011-09-29,미국,필라멘트픽쳐스
써커펀치,2011-04-07,미국,워너브러더스 코리아(주)
빨간모자의진실2,2011-07-13,미국,(주)화앤담이엔티
아메리칸허슬,2014-02-20,미국,(주)누리픽쳐스
아토믹블론드,2017-08-30,미국,씨네그루(주)키다리이엔티
레고닌자고무비,2017-09-28,미국,워너브러더스 코리아(주)
최강전사미니특공대새로운악당의습격,2015-02-05,한국,에이원엔터테인먼트
크레이지리치아시안,2018-10-25,미국,워너브러더스 코리아(주)
킥애스영웅의탄생,2010-04-22,영국/미국,롯데쇼핑㈜롯데엔터테인먼트
폴리스스토리2014,2014-01-29,중국,유니버설픽쳐스인터내셔널 코리아(유)
더레이븐,2012-07-05,미국/헝가리/스페인,롯데쇼핑㈜롯데엔터테인먼트
시카리오암살자의도시,2015-12-03,미국,롯데쇼핑㈜롯데엔터테인먼트
익스펜더블3,2014-08-20,미국,롯데쇼핑㈜롯데엔터테인먼트
아메리칸셰프,2015-01-07,미국,(주)영화사 진진
히든카드,2013-09-26,미국,이십세기폭스코리아(주)
달빛궁궐,2016-09-07,한국,(주)넥스트엔터테인먼트월드(NEW)
짱구는못말려극장판정면승부로봇아빠의역습,2015-04-23,일본,(주)이수C&E
다운사이징,2018-01-11,미국,롯데쇼핑㈜롯데엔터테인먼트
비정규직특수요원,2017-03-16,한국,(주)이수C&E/(주)스톰픽쳐스코리아
워킹걸,2015-01-07,한국,메가박스중앙(주)플러스엠
레고배트맨무비,2017-02-09,미국,워너브러더스 코리아(주)
미스컨덕트,2016-03-30,미국,(주)박수엔터테인먼트/㈜코리아스크린
서울역,2016-08-17,한국,(주)넥스트엔터테인먼트월드(NEW)
크레이지,2010-04-08,미국/아랍에미리트연합국정부,(주)넥스트엔터테인먼트월드(NEW)
웨딩드레스,2010-01-14,한국,(주)싸이더스
원피스극장판스트롱월드,2010-02-11,일본,투니버스(주)온미디어
13시간,2016-03-03,미국,롯데쇼핑㈜롯데엔터테인먼트
철의여인,2012-02-23,영국,필라멘트픽쳐스
안나카레니나,2013-03-21,미국,유니버설픽쳐스인터내셔널 코리아(유)
헬프,2011-11-03,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
지슬끝나지않은세월2,2013-03-21,한국,(주)영화사 진진
장난감이살아있다,2016-09-07,아르헨티나/스페인,㈜코리아스크린/와이드 릴리즈(주)
우먼인골드,2015-07-09,미국/영국,(주)팝엔터테인먼트
은밀한유혹,2015-06-04,한국,씨제이이앤엠(주)
가시,2014-04-10,한국,(주)인벤트스톤
극장판또봇로봇군단의습격,2017-04-27,한국,씨제이이앤엠(주)
마담프루스트의비밀정원,2014-07-24,프랑스,찬란
극장판아이엠스타꿈의오디션,2016-02-11,일본,씨제이이앤엠(주)
나를기억해,2018-04-19,한국,씨네그루(주)키다리이엔티
화장,2015-04-09,한국,(주)리틀빅픽쳐스
아르고,2012-10-31,미국,워너브러더스 코리아(주)
500일의썸머,2010-01-21,미국,(주)팝엔터테인먼트/이십세기폭스코리아(주)
블루재스민,2013-09-25,미국,(주)인벤트스톤
가버나움,2019-01-24,기타,그린나래미디어(주)/플레이리스트(주)
플로렌스,2016-08-24,영국,(주)이수C&E
액트오브밸러최정예특수부대,2012-02-29,미국,씨너스엔터테인먼트(주)
나이트메어,2010-05-20,미국,워너브러더스 코리아(주)
빅샤크매직체인지,2018-06-27,중국,와이드 릴리즈(주)
극장판도라에몽진구와철인군단날아라천사들,2011-07-28,일본,에이원엔터테인먼트
데이브레이커스,2010-03-18,미국,(주)성원아이컴
더포스트,2018-02-28,미국,CGV아트하우스
독전익스텐디드컷,2018-07-18,한국,(주)넥스트엔터테인먼트월드(NEW)
극장판파워레인저엔진포스vs와일드스피릿,2010-01-07,일본,씨제이엔터테인먼트
5050,2011-11-24,미국,롯데쇼핑㈜롯데엔터테인먼트
더퍼지,2013-11-06,미국,유니버설픽쳐스인터내셔널 코리아(유)
극장판에그엔젤코코밍푸르밍과두근두근코코밍세계,2017-09-07,일본,씨제이이앤엠(주)
파이터,2011-03-10,미국,(주)시너지하우스 (시너지)
워터디바이너,2015-01-28,미국/호주/터키,롯데쇼핑㈜롯데엔터테인먼트
링컨,2013-03-14,미국,이십세기폭스코리아(주)
제5침공,2016-02-25,미국,유니버설픽쳐스인터내셔널 코리아(유)
제인에어,2011-04-20,영국,(주)시너지하우스 (시너지)
극장판꼬마버스타요의에이스구출작전,2016-01-21,한국,(주)아이코닉스
로빈슨크루소,2016-09-07,벨기에,(주)영화사 빅
로마의휴일,2017-08-30,한국,메가박스중앙(주)플러스엠
대니쉬걸,2016-02-17,미국/영국,유니버설픽쳐스인터내셔널 코리아(유)
비스틀리,2011-03-17,미국,(주)넥스트엔터테인먼트월드(NEW)
